day,Date,category,daily,balance,balancetot
2023-12-01 00:00,2023-12-01,CollateralToCoreBuybackStrategy,,2331304259.434165,9784955190909.06
2023-12-01 00:00,2023-12-01,BWB,26212635184.91806,918036756282.8751,9784955190909.06
2023-12-01 00:00,2023-12-01,NFT Royalties,3796739221.2175913,69080075725.50392,9784955190909.06
2023-12-01 00:00,2023-12-01,NFT Mint,10549499697.507576,366246206652.84174,9784955190909.06
2023-12-01 00:00,2023-12-01,BuyBack,191780188239.5408,8429260847988.405,9784955190909.06
2023-11-30 00:00,2023-11-30,CollateralToCoreBuybackStrategy,,2331304259.434165,9552616128565.875
2023-11-30 00:00,2023-11-30,BWB,19891992220.72629,891824121097.957,9552616128565.875
2023-11-30 00:00,2023-11-30,NFT Royalties,1901779470.302145,65283336504.28632,9552616128565.875
2023-11-30 00:00,2023-11-30,NFT Mint,12896518692.436504,355696706955.33417,9552616128565.875
2023-11-30 00:00,2023-11-30,BuyBack,266973443257.8732,8237480659748.864,9552616128565.875
2023-11-29 00:00,2023-11-29,NFT Mint,9403640281.989706,342800188262.89764,9250952394924.537
2023-11-29 00:00,2023-11-29,NFT Royalties,1592074680.8388748,63381557033.98418,9250952394924.537
2023-11-29 00:00,2023-11-29,BWB,18876181763.24234,871932128877.2307,9250952394924.537
2023-11-29 00:00,2023-11-29,BuyBack,260626114007.1023,7970507216490.991,9250952394924.537
2023-11-29 00:00,2023-11-29,CollateralToCoreBuybackStrategy,,2331304259.434165,9250952394924.537
2023-11-28 00:00,2023-11-28,CollateralToCoreBuybackStrategy,542457434.6620202,2331304259.434165,8960454384191.365
2023-11-28 00:00,2023-11-28,BWB,13027158952.131174,853055947113.9884,8960454384191.365
2023-11-28 00:00,2023-11-28,NFT Royalties,1277834576.483952,61789482353.1453,8960454384191.365
2023-11-28 00:00,2023-11-28,NFT Mint,11814428283.360422,333396547980.90796,8960454384191.365
2023-11-28 00:00,2023-11-28,BuyBack,185472466615.38635,7709881102483.889,8960454384191.365
2023-11-27 00:00,2023-11-27,CollateralToCoreBuybackStrategy,,1788846824.7721448,8748320038329.34
2023-11-27 00:00,2023-11-27,BWB,33433268639.573357,840028788161.8572,8748320038329.34
2023-11-27 00:00,2023-11-27,NFT Royalties,5116975940.2805195,60511647776.66135,8748320038329.34
2023-11-27 00:00,2023-11-27,NFT Mint,9439476412.848288,321582119697.54755,8748320038329.34
2023-11-27 00:00,2023-11-27,BuyBack,155337791743.73892,7524408635868.502,8748320038329.34
2023-11-26 00:00,2023-11-26,CollateralToCoreBuybackStrategy,244006333.01531985,1788846824.7721448,8544992525592.898
2023-11-26 00:00,2023-11-26,BWB,22839624644.0677,806595519522.2838,8544992525592.898
2023-11-26 00:00,2023-11-26,NFT Royalties,7623293247.394391,55394671836.38083,8544992525592.898
2023-11-26 00:00,2023-11-26,NFT Mint,15272587792.74825,312142643284.6993,8544992525592.898
2023-11-26 00:00,2023-11-26,BuyBack,163910491335.01215,7369070844124.763,8544992525592.898
2023-11-25 00:00,2023-11-25,CollateralToCoreBuybackStrategy,204289428.90722418,1544840491.756825,8335102522240.661
2023-11-25 00:00,2023-11-25,BWB,23534126761.740524,783755894878.2161,8335102522240.661
2023-11-25 00:00,2023-11-25,NFT Royalties,314103334.6769379,47771378588.986435,8335102522240.661
2023-11-25 00:00,2023-11-25,NFT Mint,3502089372.5462,296870055491.95105,8335102522240.661
2023-11-25 00:00,2023-11-25,BuyBack,193271996705.47775,7205160352789.751,8335102522240.661
2023-11-24 00:00,2023-11-24,BWB,11642967104.008131,760221768116.4756,8114275916637.3125
2023-11-24 00:00,2023-11-24,NFT Royalties,943896486.993156,47457275254.309494,8114275916637.3125
2023-11-24 00:00,2023-11-24,NFT Mint,9316078820.808819,293367966119.40485,8114275916637.3125
2023-11-24 00:00,2023-11-24,BuyBack,182943602329.35928,7011888356084.273,8114275916637.3125
2023-11-24 00:00,2023-11-24,CollateralToCoreBuybackStrategy,,1340551062.8496008,8114275916637.3125
2023-11-23 00:00,2023-11-23,CollateralToCoreBuybackStrategy,336160020.91956794,1340551062.8496008,7909429371896.144
2023-11-23 00:00,2023-11-23,BWB,15687689449.519165,748578801012.4674,7909429371896.144
2023-11-23 00:00,2023-11-23,NFT Royalties,315074525.3748591,46513378767.31634,7909429371896.144
2023-11-23 00:00,2023-11-23,NFT Mint,44504587960.73449,284051887298.596,7909429371896.144
2023-11-23 00:00,2023-11-23,BuyBack,207872084523.01797,6828944753754.914,7909429371896.144
2023-11-22 00:00,2023-11-22,CollateralToCoreBuybackStrategy,661381726.5672599,1004391041.9300327,7640713775416.578
2023-11-22 00:00,2023-11-22,BWB,27934500617.477077,732891111562.9482,7640713775416.578
2023-11-22 00:00,2023-11-22,NFT Royalties,950123688.6480353,46198304241.941475,7640713775416.578
2023-11-22 00:00,2023-11-22,NFT Mint,21115757573.787697,239547299337.86154,7640713775416.578
2023-11-22 00:00,2023-11-22,BuyBack,205321092376.18454,6621072669231.896,7640713775416.578
