,absolute,percent
$elephant/m,0.000,0.309
bnb_lp_elephant,687342983039.625,0.558
bnb_lp_bnb,-228.798,-0.564
busd_lp_elephant,-597763609451.500,-0.668
busd_lp_busd,56113.905,0.674
$trunk,-0.010,-5.291
total_ele_in_lps,89579373588.125,0.042
trunk_lp_trunk,420170.604,2.759
trunk_lp_busd,-80029.136,-2.678
trunk_lp_busd_to_balance,80291.892,2.137
bnb_price,2.107,0.699
bertha/T,-0.104,-0.103
busd_treasury,-187.447,-10.835
trunk_treasury,-12696.456,-24.944
staking_balance,-222000.000,-2.438
farm_tvl,151000.000,2.045
trunk_wallets,10117.500,0.929
farmers_depot_deposits,23697.000,2.266
farmers_depot_balance,-66317.000,-25.224
futures_deposits,0.000,
futures_balance,0.000,
stampede_bonds,170000.000,0.304
stampede_owed,-191500.000,-0.347
trunk_liquid_debt,-136382.500,-0.982
redemption_queue,-10000.000,-0.690
