Date,TVL Growth [USD],Deposits [USD],Compounds [USD],Withdrawals [USD],Daily New Wallets,TVL [USD],Total Deposits [USD],Total Compounds [USD],Total Withdrawals [USD],Total Claimed [USD],Total Withdrawal / Deposit,deposit_tx,withdraw_tx
2024-05-24 00:00,"381,845","360,931","49,223","-28,308",5,"46,797,044","30,940,087","28,406,294","12,549,337","-40,955,630",41%,52,47
2024-05-23 00:00,0,0,0,0,0,"46,415,199","30,579,156","28,357,071","12,521,028","-40,878,099",41%,0,0
2024-05-22 00:00,"47,527","38,833","25,477","-16,782",1,"46,415,199","30,579,156","28,357,071","12,521,028","-40,878,099",41%,27,21
2024-05-21 00:00,"671,803","523,453","203,205","-54,856",10,"46,367,672","30,540,324","28,331,594","12,504,246","-40,835,840",41%,179,98
2024-05-20 00:00,"159,886","66,970","150,093","-57,176",4,"45,695,869","30,016,870","28,128,389","12,449,390","-40,577,779",41%,144,82
2024-05-19 00:00,"159,054","84,209","129,926","-55,081",8,"45,535,983","29,949,901","27,978,296","12,392,214","-40,370,510",41%,121,81
2024-05-18 00:00,"200,235","123,197","114,912","-37,875",2,"45,376,929","29,865,692","27,848,370","12,337,132","-40,185,502",41%,119,60
2024-05-17 00:00,"191,857","54,392","185,910","-48,445",3,"45,176,694","29,742,494","27,733,457","12,299,258","-40,032,715",41%,145,78
2024-05-16 00:00,"129,758","94,729","123,517","-88,488",3,"44,984,837","29,688,103","27,547,547","12,250,813","-39,798,360",41%,135,107
2024-05-15 00:00,"97,147","58,208","147,483","-108,545",1,"44,855,080","29,593,374","27,424,030","12,162,324","-39,586,354",41%,154,81
2024-05-14 00:00,"161,164","63,799","160,053","-62,688",1,"44,757,933","29,535,166","27,276,547","12,053,779","-39,330,326",41%,145,84
2024-05-13 00:00,"177,450","88,162","151,175","-61,887",5,"44,596,769","29,471,367","27,116,494","11,991,091","-39,107,585",41%,136,79
2024-05-12 00:00,"143,010","35,708","151,075","-43,772",5,"44,419,319","29,383,204","26,965,319","11,929,204","-38,894,524",41%,123,69
2024-05-11 00:00,"98,936","36,525","115,781","-53,371",1,"44,276,309","29,347,497","26,814,244","11,885,432","-38,699,676",40%,116,53
2024-05-10 00:00,"119,419","50,477","145,967","-77,025",2,"44,177,374","29,310,971","26,698,464","11,832,061","-38,530,525",40%,128,93
2024-05-09 00:00,"200,385","148,894","108,470","-56,979",2,"44,057,954","29,260,495","26,552,497","11,755,036","-38,307,533",40%,131,86
2024-05-08 00:00,"132,048","48,586","128,784","-45,322",6,"43,857,569","29,111,601","26,444,027","11,698,058","-38,142,084",40%,117,87
2024-05-07 00:00,"210,254","42,399","227,425","-59,570",1,"43,725,521","29,063,014","26,315,243","11,652,736","-37,967,978",40%,133,75
2024-05-06 00:00,"174,229","118,981","110,603","-55,355",3,"43,515,267","29,020,615","26,087,818","11,593,166","-37,680,983",40%,106,104
2024-05-05 00:00,"131,736","47,161","139,572","-54,997",5,"43,341,038","28,901,634","25,977,215","11,537,811","-37,515,025",40%,118,73
2024-05-04 00:00,"78,324","60,308","64,401","-46,386",5,"43,209,302","28,854,473","25,837,643","11,482,814","-37,320,456",40%,94,74
2024-05-03 00:00,"669,619","604,640","105,637","-40,657",7,"43,130,979","28,794,165","25,773,242","11,436,428","-37,209,670",40%,169,105
2024-05-02 00:00,"127,110","92,114","102,114","-67,118",6,"42,461,359","28,189,525","25,667,605","11,395,771","-37,063,376",40%,138,95
2024-05-01 00:00,"157,142","78,763","129,618","-51,240",13,"42,334,250","28,097,411","25,565,492","11,328,653","-36,894,145",40%,185,93
2024-04-30 00:00,"86,346","58,755","177,068","-149,477",5,"42,177,108","28,018,648","25,435,873","11,277,413","-36,713,287",40%,145,148
2024-04-29 00:00,"99,920","47,105","125,396","-72,580",8,"42,090,762","27,959,893","25,258,806","11,127,937","-36,386,742",40%,122,95
2024-04-28 00:00,"108,240","75,993","108,289","-76,042",3,"41,990,841","27,912,788","25,133,410","11,055,356","-36,188,766",40%,98,80
2024-04-27 00:00,"103,508","75,964","75,118","-47,575",4,"41,882,601","27,836,795","25,025,121","10,979,315","-36,004,435",39%,97,84
2024-04-26 00:00,"113,471","46,871","111,473","-44,872",1,"41,779,094","27,760,831","24,950,002","10,931,740","-35,881,742",39%,118,87
2024-04-25 00:00,"-91,955","70,922","114,065","-276,941",5,"41,665,622","27,713,960","24,838,530","10,886,868","-35,725,397",39%,163,110
2024-04-24 00:00,"89,266","32,976","111,043","-54,753",4,"41,757,577","27,643,038","24,724,465","10,609,927","-35,334,392",38%,122,87
2024-04-23 00:00,"67,380","32,987","73,713","-39,320",4,"41,668,311","27,610,063","24,613,422","10,555,174","-35,168,596",38%,102,93
2024-04-22 00:00,"74,502","47,209","95,174","-67,880",4,"41,600,931","27,577,076","24,539,709","10,515,854","-35,055,563",38%,104,78
2024-04-21 00:00,"100,647","49,525","104,108","-52,985",5,"41,526,429","27,529,868","24,444,535","10,447,974","-34,892,509",38%,135,85
2024-04-20 00:00,"89,097","30,967","104,549","-46,418",2,"41,425,782","27,480,343","24,340,427","10,394,989","-34,735,416",38%,101,106
2024-04-19 00:00,"108,263","49,695","99,673","-41,104",3,"41,336,684","27,449,376","24,235,878","10,348,570","-34,584,448",38%,130,84
2024-04-18 00:00,"91,579","34,376","103,960","-46,757",3,"41,228,421","27,399,681","24,136,206","10,307,466","-34,443,672",38%,119,100
2024-04-17 00:00,"81,132","36,652","102,248","-57,768",3,"41,136,842","27,365,305","24,032,246","10,260,709","-34,292,955",37%,105,109
2024-04-16 00:00,"103,194","47,075","109,327","-53,208",5,"41,055,710","27,328,653","23,929,998","10,202,941","-34,132,939",37%,107,103
2024-04-15 00:00,"120,829","66,272","122,468","-67,910",4,"40,952,516","27,281,578","23,820,671","10,149,733","-33,970,404",37%,133,105
2024-04-14 00:00,"52,118","30,721","123,905","-102,508",2,"40,831,687","27,215,306","23,698,203","10,081,823","-33,780,026",37%,141,115
2024-04-13 00:00,"64,663","24,886","102,403","-62,626",2,"40,779,569","27,184,585","23,574,298","9,979,314","-33,553,612",37%,105,108
2024-04-12 00:00,"46,798","30,542","86,880","-70,625",2,"40,714,906","27,159,700","23,471,895","9,916,688","-33,388,583",37%,112,106
2024-04-11 00:00,"237,338","29,408","262,635","-54,704",3,"40,668,109","27,129,158","23,385,015","9,846,063","-33,231,078",36%,139,95
2024-04-10 00:00,"105,674","56,287","110,787","-61,400",5,"40,430,771","27,099,750","23,122,380","9,791,359","-32,913,739",36%,126,93
2024-04-09 00:00,"87,497","25,384","92,595","-30,482",1,"40,325,097","27,043,463","23,011,593","9,729,958","-32,741,551",36%,97,81
2024-04-08 00:00,"68,657","40,204","120,261","-91,808",1,"40,237,600","27,018,079","22,918,998","9,699,476","-32,618,474",36%,109,94
2024-04-07 00:00,"102,069","29,739","113,454","-41,123",3,"40,168,943","26,977,875","22,798,737","9,607,669","-32,406,406",36%,116,91
2024-04-06 00:00,"60,255","30,576","73,303","-43,624",0,"40,066,874","26,948,137","22,685,283","9,566,546","-32,251,829",35%,90,76
2024-04-05 00:00,"103,170","52,991","109,250","-59,071",4,"40,006,619","26,917,561","22,611,980","9,522,922","-32,134,902",35%,110,90
2024-04-04 00:00,"61,086","31,500","77,332","-47,746",7,"39,903,450","26,864,570","22,502,730","9,463,850","-31,966,580",35%,113,80
2024-04-03 00:00,"151,577","107,942","87,985","-44,350",5,"39,842,363","26,833,069","22,425,399","9,416,105","-31,841,503",35%,102,83
2024-04-02 00:00,"37,381","30,814","103,621","-97,054",0,"39,690,786","26,725,127","22,337,414","9,371,755","-31,709,168",35%,103,87
2024-04-01 00:00,"141,130","41,515","158,748","-59,133",0,"39,653,406","26,694,313","22,233,793","9,274,700","-31,508,493",35%,152,100
2024-03-31 00:00,"78,255","30,870","125,084","-77,698",1,"39,512,276","26,652,799","22,075,045","9,215,568","-31,290,612",35%,131,106
2024-03-30 00:00,"58,234","54,070","71,840","-67,676",1,"39,434,020","26,621,929","21,949,961","9,137,869","-31,087,830",34%,86,79
2024-03-29 00:00,"86,750","34,675","90,243","-38,168",2,"39,375,787","26,567,859","21,878,121","9,070,193","-30,948,313",34%,115,78
2024-03-28 00:00,"-24,189","37,900","101,648","-163,737",1,"39,289,037","26,533,185","21,787,877","9,032,025","-30,819,902",34%,115,98
2024-03-27 00:00,"60,372","34,061","84,712","-58,400",2,"39,313,227","26,495,285","21,686,229","8,868,287","-30,554,516",33%,89,84
