Day,Daily Growth,Daily Growth,Daily IN,Daily IN,Daily OUT,Daily OUT,Daily IN/OUT,Total IN,Total IN,Total OUT,Total OUT,Treasury,Treasury,Total OUT/IN,Total OUT/IN USD
2023-11-11,500.6b,$ 223.5k,527.8b,$ 235.6k,-27.2b,-$ 12.2k,1937%,11.1t,$ 4.6m,-2.2t,-$ 928.8k,187.6t,$ 83.8m,20%,20%
2023-11-10,214.6b,$ 98.6k,307.4b,$ 141.3k,-92.8b,-$ 42.7k,331%,10.6t,$ 4.4m,-2.2t,-$ 916.7k,187.2t,$ 86.1m,21%,21%
2023-11-09,185.4b,$ 85.5k,228.1b,$ 105.2k,-42.7b,-$ 19.7k,534%,10.3t,$ 4.2m,-2.1t,-$ 874.0k,186.9t,$ 86.2m,21%,21%
2023-11-08,164.8b,$ 75.7k,237.7b,$ 109.2k,-72.9b,-$ 33.5k,326%,10.0t,$ 4.1m,-2.1t,-$ 854.3k,186.9t,$ 85.9m,21%,21%
2023-11-07,176.6b,$ 81.1k,217.0b,$ 99.7k,-40.4b,-$ 18.6k,537%,9.8t,$ 4.0m,-2.0t,-$ 820.8k,186.7t,$ 85.8m,20%,20%
2023-11-06,133.3b,$ 60.2k,208.5b,$ 94.3k,-75.2b,-$ 34.0k,277%,9.6t,$ 3.9m,-2.0t,-$ 802.2k,186.6t,$ 84.3m,20%,20%
2023-11-05,204.9b,$ 91.9k,242.7b,$ 108.9k,-37.8b,-$ 16.9k,642%,9.4t,$ 3.8m,-1.9t,-$ 768.2k,186.4t,$ 83.7m,20%,20%
2023-11-04,248.0b,$ 110.0k,288.1b,$ 127.8k,-40.2b,-$ 17.8k,717%,9.1t,$ 3.7m,-1.8t,-$ 751.3k,186.2t,$ 82.6m,20%,20%
2023-11-03,249.1b,$ 109.2k,308.8b,$ 135.4k,-59.7b,-$ 26.2k,517%,8.8t,$ 3.6m,-1.8t,-$ 733.5k,186.0t,$ 81.6m,20%,20%
2023-11-02,275.1b,$ 120.2k,338.3b,$ 147.8k,-63.1b,-$ 27.6k,536%,8.5t,$ 3.5m,-1.7t,-$ 707.3k,185.5t,$ 81.0m,20%,20%
2023-11-01,356.2b,$ 154.3k,412.5b,$ 178.7k,-56.3b,-$ 24.4k,733%,8.2t,$ 3.3m,-1.7t,-$ 679.7k,185.4t,$ 80.3m,21%,21%
2023-10-31,84.6b,$ 36.7k,293.7b,$ 127.3k,-209.1b,-$ 90.6k,140%,7.8t,$ 3.1m,-1.6t,-$ 655.3k,185.1t,$ 80.2m,21%,21%
2023-10-30,43.1b,$ 18.5k,252.9b,$ 109.7k,-209.8b,-$ 91.2k,121%,7.5t,$ 3.0m,-1.4t,-$ 564.7k,185.0t,$ 80.3m,19%,19%
2023-10-29,240.7b,$ 104.4k,318.2b,$ 138.0k,-77.5b,-$ 33.6k,411%,7.2t,$ 2.9m,-1.2t,-$ 473.7k,184.9t,$ 80.2m,17%,16%
2023-10-28,376.6b,$ 163.9k,439.6b,$ 191.3k,-63.0b,-$ 27.4k,698%,6.9t,$ 2.8m,-1.1t,-$ 440.1k,184.4t,$ 80.1m,16%,16%
2023-10-27,385.2b,$ 166.1k,440.3b,$ 189.8k,-55.1b,-$ 23.8k,799%,6.5t,$ 2.6m,-1.1t,-$ 412.7k,184.3t,$ 79.5m,17%,16%
2023-10-26,439.9b,$ 187.6k,484.3b,$ 206.6k,-44.4b,-$ 18.9k,1092%,6.0t,$ 2.4m,-1.0t,-$ 388.9k,183.6t,$ 78.3m,17%,16%
2023-10-25,532.2b,$ 225.4k,603.3b,$ 255.5k,-71.1b,-$ 30.1k,849%,5.6t,$ 2.2m,-970.9b,-$ 370.0k,183.5t,$ 77.8m,17%,17%
2023-10-24,716.2b,$ 301.6k,760.1b,$ 320.1k,-43.9b,-$ 18.5k,1730%,5.0t,$ 1.9m,-899.8b,-$ 339.8k,183.0t,$ 77.1m,18%,18%
2023-10-23,686.5b,$ 282.2k,725.4b,$ 298.1k,-38.9b,-$ 16.0k,1864%,4.2t,$ 1.6m,-855.9b,-$ 321.3k,182.3t,$ 74.9m,20%,20%
2023-10-22,205.7b,$ 82.0k,246.1b,$ 98.1k,-40.3b,-$ 16.1k,610%,3.5t,$ 1.3m,-816.9b,-$ 305.3k,181.6t,$ 72.4m,24%,24%
2023-10-21,147.4b,$ 58.5k,217.6b,$ 86.3k,-70.2b,-$ 27.8k,310%,3.2t,$ 1.2m,-776.6b,-$ 289.3k,181.3t,$ 71.9m,24%,24%
2023-10-20,140.7b,$ 55.5k,192.4b,$ 75.9k,-51.7b,-$ 20.4k,372%,3.0t,$ 1.1m,-706.5b,-$ 261.4k,181.2t,$ 71.5m,23%,24%
2023-10-19,134.5b,$ 53.0k,181.2b,$ 71.4k,-46.6b,-$ 18.4k,389%,2.8t,$ 1.0m,-654.7b,-$ 241.0k,181.1t,$ 71.4m,23%,23%
2023-10-18,160.6b,$ 63.4k,199.9b,$ 79.0k,-39.3b,-$ 15.5k,508%,2.6t,$ 964.9k,-608.1b,-$ 222.7k,181.0t,$ 71.5m,23%,23%
2023-10-17,143.5b,$ 56.5k,202.1b,$ 79.6k,-58.6b,-$ 23.1k,345%,2.4t,$ 886.0k,-568.8b,-$ 207.1k,180.8t,$ 71.2m,23%,23%
2023-10-16,413.1b,$ 157.2k,502.6b,$ 191.2k,-89.5b,-$ 34.0k,562%,2.2t,$ 806.4k,-510.1b,-$ 184.0k,180.5t,$ 68.6m,23%,23%
2023-10-15,180.4b,$ 65.1k,297.2b,$ 107.2k,-116.9b,-$ 42.2k,254%,1.7t,$ 615.2k,-420.6b,-$ 150.0k,180.2t,$ 65.0m,24%,24%
2023-10-14,204.1b,$ 72.1k,284.9b,$ 100.7k,-80.8b,-$ 28.6k,353%,1.4t,$ 508.0k,-303.8b,-$ 107.8k,179.9t,$ 63.6m,21%,21%
2023-10-13,272.6b,$ 95.9k,338.4b,$ 119.0k,-65.8b,-$ 23.2k,514%,1.1t,$ 407.3k,-223.0b,-$ 79.3k,179.8t,$ 63.3m,19%,19%
2023-10-12,352.8b,$ 124.5k,400.0b,$ 141.2k,-47.2b,-$ 16.7k,847%,809.7b,$ 288.2k,-157.2b,-$ 56.1k,179.3t,$ 63.2m,19%,19%
