DAY,ELEPHANT,TVL,ELE BNB,ELE BUSD,TVL BNB,TVL BUSD,BUY VOL,SELL VOL,VOLUME,BUY-SELL VOL,#Buys,#Sells,#TX,#TX BNB,#TX BUSD,$/M ELE BNB,$/M ELE BUSD,BUSD-BNB Price,ELE Treasury,ELE Treasury
2023-10-15,102.8t,74.3m,55.3t,47.5t,$40.2m,$34.1m,$353.5k,$41.7k,$395.2k,$311.9k,183,40,223,80,143,$0.363,$0.359,-$0.0037,180.2t,$64.9m
2023-10-14,103.4t,73.0m,55.5t,47.9t,$39.2m,$33.9m,$195.8k,$69.2k,$264.9k,$126.6k,146,56,202,156,46,$0.353,$0.353,$0.0007,179.9t,$63.6m
2023-10-13,103.8t,72.6m,55.9t,47.9t,$38.9m,$33.8m,$240.0k,$61.7k,$301.8k,$178.3k,233,82,315,274,41,$0.348,$0.352,$0.0046,179.8t,$62.9m
2023-10-12,103.9t,72.1m,56.1t,47.8t,$38.4m,$33.7m,$173.9k,$172.3k,$346.1k,$1.6k,173,138,311,252,59,$0.342,$0.353,$0.0108,179.3t,$62.8m
2023-10-11,103.5t,72.4m,56.4t,47.2t,$38.5m,$33.9m,$188.7k,$408.2k,$596.9k,-$219.5k,231,174,405,319,86,$0.342,$0.359,$0.0174,179.2t,$62.7m
2023-10-10,103.3t,73.2m,56.4t,47.0t,$38.9m,$34.3m,$200.4k,$307.9k,$508.3k,-$107.5k,324,219,543,447,96,$0.345,$0.365,$0.0196,178.6t,$62.5m
2023-10-09,91.8t,72.9m,49.6t,42.3t,$38.5m,$34.4m,$619.1k,$4.9m,$5.5m,-$4.2m,247,434,681,496,185,$0.388,$0.407,$0.0191,177.8t,$62.2m
2023-10-08,91.0t,82.6m,48.9t,42.1t,$44.3m,$38.3m,$140.8k,$610.4k,$751.2k,-$469.6k,225,208,433,346,87,$0.453,$0.454,$0.0014,177.5t,$79.9m
2023-10-07,90.8t,83.7m,48.9t,41.8t,$45.1m,$38.6m,$232.5k,$106.2k,$338.7k,$126.3k,207,165,372,304,68,$0.460,$0.462,$0.0016,177.5t,$81.6m
2023-10-06,91.1t,83.7m,49.2t,41.8t,$45.1m,$38.6m,$200.8k,$1.1m,$1.3m,-$868.2k,270,351,621,401,220,$0.458,$0.462,$0.0037,177.3t,$81.0m
2023-10-05,89.2t,84.8m,47.9t,41.3t,$45.7m,$39.1m,$429.4k,$294.9k,$724.3k,$134.5k,400,182,582,381,201,$0.477,$0.474,-$0.0028,177.1t,$83.9m
2023-10-04,94.7t,85.1m,51.0t,43.7t,$46.0m,$39.1m,$2.8m,$260.0k,$3.0m,$2.5m,1253,130,1383,613,770,$0.450,$0.448,-$0.0021,176.2t,$84.6m
2023-10-03,84.8t,80.1m,46.2t,38.6t,$43.0m,$37.0m,$1.7m,$6.5m,$8.2m,-$4.9m,957,1624,2581,1791,790,$0.466,$0.479,$0.0134,175.0t,$73.5m
2023-10-02,81.6t,90.1m,44.2t,37.4t,$48.1m,$42.0m,$364.0k,$2.0m,$2.3m,-$1.6m,565,546,1111,759,352,$0.545,$0.561,$0.0163,174.8t,$92.6m
