ranking,wallet,tot_deposit_value,tot_claim_value,deposit_value,compound_value,claim_value,withdraw_value,migrate_value,TVL,rate,daily,bonus_value,ROI,deposit_nr,compound_nr,withdraw_nr,bonus_nr,since_migrate,since_first_deposit,since_last_compound,since_last_withdrawal
1,"<a href=""https://bscscan.com/address/0x7c5ed8b676e5712ea15d0416a36c26c5c060df94"" target=""_blank"" rel=""noopener noreferrer"">0x7c5e...df94</a>",1.0793968e+06,-968947.7999999999,79396.8,11790.5,-188836.6,-177046.1,1e+06,914141.2000000001,0.0012029032011092843,1099.6233757458826,2564.4,0.16402318405983787,5,5,20,25,231,176,60,3
2,"<a href=""https://bscscan.com/address/0xcb71eb21f53a2f4de0f26dc90518df10be13d1ec"" target=""_blank"" rel=""noopener noreferrer"">0xcb71...d1ec</a>",1.0132895e+06,-809561,13289.5,33639,-167610,-133971,1e+06,912957.5,0.0012029032011092843,1098.1994992267296,1472.6,0.1322139428070655,4,4,20,24,232,228,17,32
3,"<a href=""https://bscscan.com/address/0xd3c8cd44d0196631eaa7c59afd4db97da5d6805a"" target=""_blank"" rel=""noopener noreferrer"">0xd3c8...805a</a>",1e+06,-1.8186534e+06,0,0,-125620.7,-125620.7,1e+06,874379.3,0.0012029032011092843,1051.7936589536955,1256.2,0.1256207,0,0,17,17,231,0,,76
4,"<a href=""https://bscscan.com/address/0x93ba50acc2517f8567f0e919324a83e6574fb7a6"" target=""_blank"" rel=""noopener noreferrer"">0x93ba...b7a6</a>",957563.2,-321731.80000000005,469748.9,74174.6,-135181.7,-61007.1,487814.3,970730.7,0.0012029032011092843,1167.6950664450562,5307.6,0.06371078170088408,66,66,163,229,231,230,19,0
5,"<a href=""https://bscscan.com/address/0x90f3a4907810f3e34115ba03b1427d7aa885cf5d"" target=""_blank"" rel=""noopener noreferrer"">0x90f3...cf5d</a>",906603,-283265.5,0,0,-131547.2,-131547.2,906603,775055.8,0.0012029032011092843,932.3171028583174,1315.5,0.1450990124674196,0,0,39,39,231,0,,44
6,"<a href=""https://bscscan.com/address/0x23ab825aaffe678f6473133f7a7a90ab49f5b391"" target=""_blank"" rel=""noopener noreferrer"">0x23ab...b391</a>",871386.9,-1.0393248999999999e+06,2778.5,2.9,-156863.8,-156861,868608.4,714528.8,0.0012029032011092843,859.5089808047757,1596.4,0.1800129196342061,3,3,154,157,232,200,136,1
7,"<a href=""https://bscscan.com/address/0x63d0d9ce8dbf79f6801b742645394f073b49caea"" target=""_blank"" rel=""noopener noreferrer"">0x63d0...caea</a>",811776.6000000001,-106866,711751.3,79910.3,-79910.3,0,100025.3,891686.9000000001,0.0012029032011092843,1072.6130263972148,7117.5,-0,83,83,0,83,232,231,3,
8,"<a href=""https://bscscan.com/address/0x2e0879b38080924892781ddac38472337905f6c1"" target=""_blank"" rel=""noopener noreferrer"">0x2e08...f6c1</a>",751198.6,-731204.5,13806.2,76575.9,-149958.5,-73382.6,737392.4,754391.9,0.0010826128809983558,816.7143882608235,871.9,0.09768734925757318,48,48,18,66,231,230,39,8
9,"<a href=""https://bscscan.com/address/0x343016ab84b4935788d63448f91bdf35764b4a28"" target=""_blank"" rel=""noopener noreferrer"">0x3430...4a28</a>",692577.3,-309279.7,274376.5,101247,-145677.5,-44430.5,418200.8,749393.8,0.0012029032011092843,901.448200911451,3188.1,0.06415240580365542,22,22,8,30,231,206,2,2
10,"<a href=""https://bscscan.com/address/0xd1d9feb0567e55a50369840c5edb36e7016c69c2"" target=""_blank"" rel=""noopener noreferrer"">0xd1d9...69c2</a>",659836.3,-398812.1,182808.2,37749.1,-107204.9,-69455.8,477028.1,628129.6,0.0012029032011092843,755.5791065514944,2522.6,0.10526216881368906,43,43,62,105,232,231,1,1
11,"<a href=""https://bscscan.com/address/0x05488965ef152819341b811ee5222daa770feab3"" target=""_blank"" rel=""noopener noreferrer"">0x0548...eab3</a>",554926.9,-207114.2,0,0,-99604.9,-99604.9,554926.9,455322,0.0012029032011092843,547.7082913354816,996,0.1794919294775582,0,0,2,2,232,0,,11
12,"<a href=""https://bscscan.com/address/0x5a7df6fc8d9375e9372a7fbb4846cb1f7b718980"" target=""_blank"" rel=""noopener noreferrer"">0x5a7d...8980</a>",513814.8,-516267.3,1835.1,34295.4,-101290.8,-66995.5,511979.7,481114.69999999995,0.0012029032011092843,578.734412730733,688.3,0.13038822548513587,7,7,13,20,230,206,1,22
13,"<a href=""https://bscscan.com/address/0xc302b7ab458fb409174faaa5f1662a645e00cc0f"" target=""_blank"" rel=""noopener noreferrer"">0xc302...cc0f</a>",469938.80000000005,-433050.69999999995,38682.9,18668.7,-82043.9,-63375.1,431255.9,425232.4000000001,0.0012029032011092843,511.5134151753837,1020.6,0.13485841135058435,18,18,70,88,232,231,3,19
14,"<a href=""https://bscscan.com/address/0x5acd29efdac786d4f5d9797158e42d2574f0d76e"" target=""_blank"" rel=""noopener noreferrer"">0x5acd...d76e</a>",434617.8,-216141.59999999998,127675.5,60430.7,-68572.8,-8142.1,306942.3,486906.4,0.0012029032011092843,585.7012672005977,1358.2,0.018733931283992523,80,80,10,90,232,229,10,43
15,"<a href=""https://bscscan.com/address/0xfbcc7e7eb60d4e1ea07b39a11bda8fbb9389db9b"" target=""_blank"" rel=""noopener noreferrer"">0xfbcc...db9b</a>",429338.8,-379614.6,33555.8,88861.1,-88861.1,0,395783,518199.9,0.0010826128809983558,561.00988667206,335.6,-0,34,34,0,34,231,230,3,
16,"<a href=""https://bscscan.com/address/0x53d1a6dfa25f973f39b69561d3aae5d86193524d"" target=""_blank"" rel=""noopener noreferrer"">0x53d1...524d</a>",424418,-400276.8,1366.1,10061.9,-75122.5,-65060.6,423051.9,369419.30000000005,0.0012029032011092843,444.37565852155114,664.3,0.15329368688415665,6,6,17,23,231,230,145,14
17,"<a href=""https://bscscan.com/address/0xf2ae0606286c0aac446ead16d336afe2d5125049"" target=""_blank"" rel=""noopener noreferrer"">0xf2ae...5049</a>",404936.5,-338897.9,24962.4,58734.9,-79874,-21139.2,379974.1,442532.2,0.0012029032011092843,532.3233999739341,461,0.05220349363418709,57,57,21,78,230,228,5,12
18,"<a href=""https://bscscan.com/address/0xafcfeeaa6863ce7fa295b27e95a342cdf12359a3"" target=""_blank"" rel=""noopener noreferrer"">0xafcf...59a3</a>",400837.9,-511984.3,766.7,20244.5,-60845.2,-40600.8,400071.2,380481.60000000003,0.0012029032011092843,457.6825346031823,413.7,0.10128957366556404,3,3,2,5,232,171,126,43
19,"<a href=""https://bscscan.com/address/0x07640a79a0175eba01da28c7b08690cd3706d44b"" target=""_blank"" rel=""noopener noreferrer"">0x0764...d44b</a>",387343.10000000003,-133780.8,58518.7,62790.3,-71838.9,-9048.7,328824.4,441084.7,0.0012029032011092843,530.5821975903284,675.7,0.023360684623012492,11,11,1,12,232,222,9,41
20,"<a href=""https://bscscan.com/address/0x7555ea8880d27325ad744e988b68c27f75f3246d"" target=""_blank"" rel=""noopener noreferrer"">0x7555...246d</a>",371589.1,-411793.5,11336.6,79121.7,-79121.7,0,360252.5,450710.8,0.0010826128809983558,487.94531768507375,113.4,-0,39,39,0,39,230,230,6,
21,"<a href=""https://bscscan.com/address/0x3256d1d8f66de87c408da75cc316b1ff10a48acb"" target=""_blank"" rel=""noopener noreferrer"">0x3256...8acb</a>",366785.8,-327982.4,2122.6,16296.7,-70044.3,-53747.6,364663.2,329334.9,0.0012029032011092843,396.1580054470061,558.7,0.1465367525133198,7,7,25,32,231,230,4,9
22,"<a href=""https://bscscan.com/address/0x8ea09876073ea51cc2f098029f03d7f1255a4bb1"" target=""_blank"" rel=""noopener noreferrer"">0x8ea0...4bb1</a>",357233,-331949.3,4903.4,34677.3,-70590.8,-35913.6,352329.6,355996.7,0.0012029032011092843,428.2295700143416,408.2,0.10053242561577458,19,19,18,37,231,228,7,2
23,"<a href=""https://bscscan.com/address/0xcdc4757ff570dcd6933f8d384293789907db6791"" target=""_blank"" rel=""noopener noreferrer"">0xcdc4...6791</a>",347225.8,-324318.6,10140.2,53559.2,-67856.1,-14296.9,337085.6,386488.1,0.0012029032011092843,464.9077726806452,244.4,0.04117464773642975,23,23,1,24,232,231,18,67
24,"<a href=""https://bscscan.com/address/0xc332ff60a9f3abe6e4f67e1912512f931b9226a8"" target=""_blank"" rel=""noopener noreferrer"">0xc332...26a8</a>",308498.60000000003,-508874.89999999997,3004.4,30608.6,-61155.8,-30547.1,305494.2,308560.10000000003,0.0012029032011092843,371.167932024601,0,0.09901892585574132,15,15,15,0,230,217,4,9
25,"<a href=""https://bscscan.com/address/0x0146ef4fc66ec0902818221f98549a2b9b13bf59"" target=""_blank"" rel=""noopener noreferrer"">0x0146...bf59</a>",307057.3,-151672.8,16174.8,19895.3,-60514.4,-40619,290882.5,286333.6,0.0012029032011092843,344.43160402514536,567.9,0.13228508164437064,2,2,24,26,231,218,176,18
26,"<a href=""https://bscscan.com/address/0x0103ab1b67f5c8c1c0d1f3dd9a54a7085631e7ee"" target=""_blank"" rel=""noopener noreferrer"">0x0103...e7ee</a>",303936,-259176.3,6362.6,62143.7,-62143.7,0,297573.4,366079.7,0.0010826128809983558,396.3225986920138,63.6,-0,4,4,0,4,230,229,8,
27,"<a href=""https://bscscan.com/address/0xb8ca088a44ebde82d1bb1afe76b0299043bdb474"" target=""_blank"" rel=""noopener noreferrer"">0xb8ca...b474</a>",297799.3,-260945.30000000002,11399.5,83446.4,-95635.1,-12188.7,286399.8,369056.99999999994,0.0010826128809983558,399.54586202261015,235.9,0.04092924328566257,19,19,7,26,231,209,10,114
28,"<a href=""https://bscscan.com/address/0x257caf977524f2ae37e5383d6380ce287bd29c17"" target=""_blank"" rel=""noopener noreferrer"">0x257c...9c17</a>",285170.3,-288140.4,0,0,-76062,-76062,285170.3,209108.3,0.0012029032011092843,251.5370434485206,760.6,0.2667248307414903,0,0,2,2,205,0,,4
29,"<a href=""https://bscscan.com/address/0xd816705b9cd0a904cacb7796bbe5553f45b863b4"" target=""_blank"" rel=""noopener noreferrer"">0xd816...63b4</a>",284282.8,-188825.7,4649,56769.3,-62121.5,-5352.2,279633.8,335699.89999999997,0.0010826128809983558,363.4330358898599,100,0.018827027171534814,23,23,2,25,227,217,2,57
30,"<a href=""https://bscscan.com/address/0xccfb8fad678dedfa19ad21fd5fc37fe8885d1f28"" target=""_blank"" rel=""noopener noreferrer"">0xccfb...1f28</a>",274792.4,-154396.8,97416.5,4189.1,-37351.6,-33162.5,177375.9,245819,0.0012029032011092843,295.6964619934832,0,0.12068201303966193,29,29,36,0,231,223,6,4
31,"<a href=""https://bscscan.com/address/0xe65f7a25f39c8b7815ebed5a4ce2f0e823672a24"" target=""_blank"" rel=""noopener noreferrer"">0xe65f...2a24</a>",270582,-205307.9,7810.8,47533.1,-57388.6,-9855.5,262771.2,308259.6,0.0012029032011092843,370.80645961266754,0,0.036423339320427815,9,9,1,0,231,230,2,83
32,"<a href=""https://bscscan.com/address/0x1fab84c961a60b13c80bdad41352378c48e3fb27"" target=""_blank"" rel=""noopener noreferrer"">0x1fab...fb27</a>",270355.6,-116632.8,25362.5,37425.1,-38421.8,-996.8,244993.1,306783.89999999997,0.0012029032011092843,369.03133535879056,263.6,0.0036866260584208516,30,30,1,31,231,230,73,69
33,"<a href=""https://bscscan.com/address/0x5823e0b6a63cbd908f2c5897904267880f938539"" target=""_blank"" rel=""noopener noreferrer"">0x5823...8539</a>",269319.2,-359348.1,0,0,-55309.8,-55309.8,269319.2,214009.40000000002,0.0012029032011092843,257.43259232747727,553.1,0.20536894510305986,0,0,8,8,231,0,,2
34,"<a href=""https://bscscan.com/address/0x24d450fc5c00caea988df162f286568c4b1a7e6a"" target=""_blank"" rel=""noopener noreferrer"">0x24d4...7e6a</a>",259347.69999999998,-203908.3,13883.4,43487.7,-54603.9,-11116.2,245464.3,291719.19999999995,0.0012029032011092843,350.9099595050395,0,0.042862149924599316,69,69,25,0,231,228,3,24
35,"<a href=""https://bscscan.com/address/0x7afe6fbad269d7df4a2f5c43dbb807eb23e4d54b"" target=""_blank"" rel=""noopener noreferrer"">0x7afe...d54b</a>",255492,-106024,0,0,-46386.8,-46386.8,255492,209105.2,0.0012029032011092843,251.53331444859714,463.9,0.18155871808119237,0,0,56,56,232,0,,0
