,$elephant/m,bnb_lp_elephant,bnb_lp_bnb,busd_lp_elephant,busd_lp_busd,$trunk,total_ele_in_lps,trunk_lp_trunk,trunk_lp_busd,trunk_lp_busd_to_balance,bnb_price,bertha/T,busd_treasury,trunk_treasury,staking_balance,farm_tvl,trunk_wallets,farmers_depot_deposits,farmers_depot_balance,futures_deposits,futures_balance,stampede_bonds,stampede_owed,trunk_liquid_debt,redemption_queue
2023-01-07 19:09:00,0.089,119723523350125.781,41557.375,92465780103219.391,8050324.134,0.204,212189303453345.188,14923994.922,3049444.712,3696657.674,260.555,101.739,1206.833,61133.234,9152000.000,7095000.000,1076679.500,1038998.000,379109.000,0.000,0.000,55730000.000,55396500.000,13776179.500,1460000.000
2023-01-08 00:00:00,0.090,119893636638544.344,41498.558,92383090653716.672,8057560.025,0.202,212276727292261.000,14991559.966,3035766.234,3710408.352,270.071,101.711,1278.712,58495.288,9167000.000,7168000.000,1076679.500,1039708.000,370961.000,0.000,0.000,55790000.000,55339500.000,13827679.500,1460000.000
2023-01-09 00:00:00,0.091,120075746292436.922,41435.778,92144480180414.125,8078492.554,0.202,212220226472851.062,15014408.962,3031189.941,3715033.107,275.061,101.682,1217.147,56927.824,9195000.000,7228000.000,1082004.500,1040574.000,313481.000,0.000,0.000,55830000.000,55311500.000,13891004.500,1450000.000
2023-01-11 00:00:00,0.093,120402650574050.297,41323.557,91913333089591.781,8098882.225,0.199,212315983663642.062,15141496.852,3005871.083,3740489.976,287.284,101.625,774.292,54410.612,9117500.000,7282000.000,1085270.500,1042021.000,287717.000,0.000,0.000,55900000.000,55255000.000,13843770.500,1450000.000
2023-01-14 20:30:00,0.097,123249945538003.766,40538.379,89451894447494.734,8322344.953,0.196,212701839985498.500,15228001.177,2988917.098,3757580.741,301.420,101.540,1730.009,50899.476,9105000.000,7384000.000,1088998.000,1045826.000,262915.000,0.000,0.000,55980000.000,55179000.000,13885998.000,1450000.000
2023-01-21 12:04:00,0.097,123937288521043.391,40309.581,88854130838043.234,8378458.858,0.186,212791419359086.625,15648171.781,2908887.962,3837872.632,303.527,101.436,1542.562,38203.020,8883000.000,7535000.000,1099115.500,1069523.000,196598.000,0.000,0.000,56150000.000,54987500.000,13749615.500,1440000.000
2023-01-24 19:15:00,0.104,120754499932393.000,41378.720,83950260591691.188,8876910.665,0.164,204704760524084.188,16684815.712,2729348.514,4018886.586,299.829,104.415,157980.597,74057.303,8384000.000,7329000.000,1104156.500,1069684.000,132773.000,0.000,0.000,56260000.000,54933000.000,13152656.500,1470000.000
2023-01-27 16:26:00,0.111,117677294383369.891,42462.145,82181173320101.891,9084081.703,0.169,199858467703471.781,16426460.888,2772301.843,3975965.179,306.745,106.603,160444.055,87558.703,8509000.000,7564000.000,1107422.500,1071284.000,101513.000,726645.000,726645.000,56370000.000,54928500.000,13398422.500,1500000.000
2023-02-06 17:34:00,0.125,114216185304972.688,43754.492,77192579246513.641,9729655.309,0.164,191408764551486.312,16642266.319,2736974.495,4012059.395,324.828,111.458,105594.466,72472.276,8607000.000,7839000.000,1115978.000,1073235.000,54235.000,1341000.000,1341000.000,56690000.000,54864500.000,13642478.000,1520000.000
2023-02-08 17:47:00,0.128,113525868922996.984,44021.523,76488373828457.547,9829751.375,0.164,190014242751454.531,16647577.788,2736150.473,4012944.121,327.653,112.215,91809.702,71752.473,8622000.000,7839000.000,1117575.500,1073235.000,54235.000,1445000.000,1445000.000,56750000.000,54847500.000,13659075.500,1520000.000
